#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
32,2024/05/13,823,1.35,823,815,815,"12,105","9,899,525.90"
33,2024/05/12,812,0.62,819,808,816,"14,214","11,534,894.00"
34,2024/05/09,807,-0.12,822.9,806,822.9,"12,325","9,968,374.90"
35,2024/05/08,808,-1.34,819.8,806,810,"10,826","8,776,888.80"
36,2024/05/07,819,1.36,876.8,803,810,"19,347","15,755,927.20"
37,2024/05/06,808,-0.83,817,801,817,"26,775","21,644,224.60"
38,2024/05/05,814.8,-0.63,824.8,812,820,"23,237","18,994,354.90"
39,2024/05/02,820,-1.18,846.3,819,846.3,"21,453","17,673,207.50"
40,2024/04/30,829.8,0.06,840,822,840,"17,323","14,351,605.60"
41,2024/04/29,829.3,-0.8,839.5,829,835,"13,398","11,134,572.70"
42,2024/04/28,836,1.09,841,810.5,810.5,"9,166","7,618,466.40"
43,2024/04/25,827,-0.23,834,825.1,829,"13,183","10,923,287.50"
44,2024/04/24,828.9,0.44,834,822,826,"11,293","9,356,275.70"
45,2024/04/22,825.3,-0.43,835,820.2,825,"7,505","6,212,557.50"
46,2024/04/21,828.9,1.21,835,819,835,"30,750","25,271,549.40"
47,2024/04/18,819,-0.97,831.9,814,825,"56,097","46,203,835.00"
48,2024/04/16,827,-0.6,834.9,815.4,815.4,"18,794","15,560,447.50"
49,2024/04/15,832,-0.48,844.8,825,844.8,"20,137","16,741,929.10"
50,2024/04/14,836,0.24,848.8,830,848.8,"10,311","8,604,460.90"
51,2024/04/10,834,-1.3,853.8,833,838,"17,949","15,009,699.30"
52,2024/04/09,845,0.6,856.8,839.9,856.8,"13,314","11,223,162.20"
53,2024/04/07,840,0.77,850,833,850,"8,488","7,116,861.30"
54,2024/04/04,833.6,-0.64,840,833.5,839,"14,947","12,497,558.90"
55,2024/04/03,839,0.12,850,832,850,"15,261","12,787,590.10"
56,2024/04/02,838,-0.12,843,836.2,842,"13,426","11,270,222.00"
57,2024/04/01,839,-0.13,848,836,836,"17,835","15,013,633.10"
58,2024/03/31,840.1,-0.88,850,840,850,"20,723","17,448,203.80"
59,2024/03/28,847.6,0.31,850,840,849.9,"15,889","13,400,392.70"
60,2024/03/27,845,-0.33,858,842,848,"11,455","9,693,058.80"
61,2024/03/26,847.8,0.12,854,840,847,"11,650","9,885,966.20"
62,2024/03/25,846.8,-0.84,860,846.8,854,"9,328","7,918,186.60"
63,2024/03/21,854,-0.49,867,849.9,866,"13,948","11,912,600.80"
64,2024/03/20,858.2,-0.79,875,858.2,860,"16,737","14,415,105.70"
65,2024/03/19,865,-0.46,875,858,858,"13,044","11,305,608.10"
66,2024/03/18,869,1.16,875,848,855,"33,901","29,485,119.50"
67,2024/03/17,859,-0.69,874,855.1,865,"7,075","6,100,994.70"
68,2024/03/14,865,-0.12,872.9,855,860,"15,738","13,561,766.90"
69,2024/03/13,866,-0.23,885.3,856,885.3,"18,601","16,165,487.50"
70,2024/03/12,868,0.94,877,859,877,"24,704","21,384,289.70"
71,2024/03/10,859.9,0.57,872,856,869.9,"10,552","9,067,195.50"
72,2024/03/07,855,1.18,865,845,859,"13,007","11,128,791.60"
73,2024/03/06,845,0.6,856.8,837.1,856.8,"14,915","12,584,435.80"
74,2024/03/05,840,-4.55,880,840,880,"29,705","25,327,249.80"
75,2024/03/04,880,5.9,881.2,847.6,847.6,"1,405","1,231,228.00"
76,2024/03/03,831,-0.6,846,825.2,840,"23,122","19,219,307.60"
77,2024/02/29,836,-0.83,850,835,850,"19,878","16,680,386.40"
78,2024/02/28,843,-0.11,850,837,844,"15,047","12,682,471.20"
79,2024/02/27,843.9,-0.13,854.9,838,854.9,"8,580","7,221,422.40"
80,2024/02/26,845,1.31,849,834,835,"15,091","12,650,909.60"
81,2024/02/25,834.1,-1.52,850,834.1,847,"28,333","23,811,530.10"
82,2024/02/22,847,-0.94,872.1,846,872.1,"27,725","23,654,372.90"
83,2024/02/21,855,-0.47,869,848,869,"17,903","15,296,541.50"
84,2024/02/20,859,-0.12,874,855,860,"17,433","15,016,892.40"
85,2024/02/18,860,-0.81,870,853,860,"26,000","22,388,381.70"
86,2024/02/15,867,-1.14,885,860,885,"22,439","19,443,517.20"
87,2024/02/14,877,1.39,941.6,860,868,"24,753","21,671,085.50"
88,2024/02/13,865,-1.7,880,865,880,"51,665","44,982,847.40"
89,2024/02/12,880,-0.11,890,864,878,"16,664","14,647,655.20"
90,2024/02/11,881,-0.68,898.9,880,898.9,"19,935","17,690,775.20"
91,2024/02/08,887,-0.34,907,877,907,"18,842","16,694,219.70"
92,2024/02/07,890,-1.44,903,888,903,"27,937","24,913,323.00"
93,2024/02/06,903,-5.1,932.5,880,932.5,"81,720","73,593,735.20"
94,2024/02/05,951.5,10,951.5,865.1,870,"30,479","26,914,054.60"
95,2024/02/04,865,-0.46,871,851.7,869.5,"16,378","14,167,838.00"
96,2024/02/01,869,-1.03,889,865,877.8,"10,944","9,533,120.50"
97,2024/01/31,878,-0.65,919.3,866,900,"22,328","19,637,534.70"
98,2024/01/30,883.7,0.65,912.9,880,895,"35,024","31,062,828.80"
99,2024/01/29,878,0.34,910,873.9,875,"22,068","19,437,362.30"
100,2024/01/28,875,0.82,882,864.6,882,"24,999","21,740,095.00"
101,2024/01/25,867.9,-0.24,876,860.1,870,"23,071","20,013,153.30"
102,2024/01/24,870,0.13,900,869,875.9,"19,150","16,772,332.60"
103,2024/01/23,868,0.12,874,860,867,"16,910","14,698,672.30"
104,2024/01/22,867,-0.69,880,865.3,875,"19,443","16,958,449.60"
105,2024/01/21,873,-1.24,898.6,870,885.1,"42,218","37,184,284.90"
106,2024/01/18,884,-1.78,907.8,882,882,"36,676","32,579,202.20"
107,2024/01/17,900,0.22,916,887.3,910,"67,387","60,799,164.90"
108,2024/01/16,898,-0.32,915,890,915,"49,827","44,836,679.10"
109,2024/01/14,900.9,0.88,910.8,900,905,"20,626","18,636,430.60"
110,2024/01/11,893,-2.08,918,890.1,918,"30,715","27,641,912.60"
111,2024/01/10,912,1.9,915,895,905,"57,777","52,576,053.00"
112,2024/01/09,895,1.24,908,893,900,"76,532","68,781,398.20"
113,2024/01/08,884,1.26,891,865,875,"39,425","34,687,691.50"
114,2024/01/07,873,-3.32,903,870,900,"64,380","56,599,053.20"
115,2024/01/04,903,-5.45,936,903,936,"60,493","55,379,722.80"
116,2024/01/03,955,1.7,958,940,943,"86,089","81,601,306.00"
117,2024/01/02,940,-0.21,945,937,945,"44,608","41,951,653.50"
118,2024/01/01,942,0.11,955,935,955,"55,788","52,715,364.20"
119,2023/12/28,941,-0.11,960,935,958,"27,938","26,329,199.10"
120,2023/12/27,942,-1.36,969,931,965,"54,905","51,923,615.70"
121,2023/12/24,955,1.58,"1,000.00",953,958.9,"135,461","132,003,598.20"
122,2023/12/21,940.1,-0.94,977,934,960,"76,644","72,748,336.20"
123,2023/12/20,949,0.32,960,938,957,"78,551","74,308,699.70"
124,2023/12/19,946,0.32,959,930,959,"42,626","40,127,770.40"
125,2023/12/18,943,2.61,955,916,926.5,"88,924","83,472,490.00"
126,2023/12/17,919,2,921,890,919,"43,044","39,387,335.20"
127,2023/12/14,901,0.45,908,893.5,896,"15,328","13,825,548.10"
128,2023/12/13,897,-0.66,916,895,905,"37,042","33,647,876.10"
129,2023/12/12,903,2.61,905,870,880,"43,984","39,404,489.00"
130,2023/12/11,880,-1.11,900,866,900,"30,906","27,299,617.00"
131,2023/12/10,889.9,4.08,890,872.1,872.1,"2,880","2,553,217.30"
132,2023/12/07,855,0.35,860,850,855,"9,190","7,850,643.90"
133,2023/12/06,852,-0.12,855,848,851,"18,921","16,085,447.30"
134,2023/12/05,853,-0.58,870,852,856,"7,401","6,342,207.70"
135,2023/12/04,858,-0.23,875,855,875,"7,178","6,173,118.50"
136,2023/12/03,860,-0.58,879,857.1,879,"5,350","4,611,374.60"
137,2023/11/30,865,0.12,870,858.1,865,"9,228","7,958,458.00"
138,2023/11/29,864,0.12,870,863,868,"10,774","9,328,340.40"
139,2023/11/28,863,-0.8,886.8,862.1,886.8,"7,746","6,720,881.60"
140,2023/11/27,870,0.23,885,863,868,"11,511","10,041,216.70"
141,2023/11/26,868,1.76,870,851.1,855,"13,742","11,875,484.30"
142,2023/11/23,853,0.38,855,838.3,849,"6,308","5,353,257.90"
143,2023/11/22,849.8,1.17,850.8,840,850,"4,717","3,991,539.10"
144,2023/11/21,840,-1.06,857,840,857,"9,094","7,679,886.30"
145,2023/11/20,849,0.07,864.9,841,864.9,"6,911","5,888,744.70"
146,2023/11/09,848.4,-0.29,850.9,829.2,850.9,"18,156","15,236,425.10"
147,2023/11/08,850.9,-0.12,853.5,845,852,"4,003","3,401,174.10"
148,2023/11/07,851.9,0.94,855,845.2,850,"6,146","5,231,521.00"
149,2023/11/06,844,0.72,850,838,838,"8,444","7,120,869.90"
150,2023/11/05,838,-0.48,842,835.9,840.1,"12,629","10,588,340.40"
151,2023/11/02,842,-0.71,850,840,850,"4,272","3,611,449.10"
152,2023/11/01,848,0.07,854,840,847.5,"6,120","5,191,570.10"
153,2023/10/31,847.4,-0.04,864.5,845,864.5,"4,360","3,701,158.00"
154,2023/10/30,847.7,0.55,850,839.1,843,"7,017","5,927,669.30"
155,2023/10/29,843.1,-1.14,869,841,869,"6,340","5,359,996.00"
156,2023/10/19,852.8,0.73,855,832,850,"15,773","13,385,132.60"
157,2023/10/18,846.6,1.74,847,840,842.9,"5,640","4,759,331.10"
158,2023/10/17,832.1,0.54,843.5,830,830,"8,652","7,246,357.00"
159,2023/10/16,827.6,-0.41,835,826,833,"13,776","11,419,404.30"
160,2023/10/12,831,0,845,830.1,845,"16,466","13,688,925.60"
161,2023/10/11,831,0.24,839,825.1,825.1,"10,625","8,849,010.40"
162,2023/10/10,829,-0.6,849.7,827,840,"10,882","9,064,703.30"
163,2023/10/09,834,-0.83,844,831.2,840,"10,799","9,027,368.60"
164,2023/10/08,841,-1.06,866,835.1,866,"10,738","9,050,558.30"
165,2023/10/05,850,-0.2,866.9,850,866.9,"8,845","7,527,010.10"
166,2023/10/04,851.7,0.32,863.9,849.2,863.9,"8,183","6,963,763.70"
167,2023/10/03,849,-0.81,866.4,848,850,"7,530","6,411,400.40"
168,2023/10/02,855.9,0.46,868.9,849,868.9,"11,178","9,525,977.20"
169,2023/10/01,852,-1.5,865,850.1,865,"7,665","6,558,214.40"
170,2023/09/27,865,-0.92,877.3,860.1,860.1,"11,335","9,825,445.10"
171,2023/09/26,873,0.46,886.3,870,886.3,"11,051","9,639,957.60"
172,2023/09/25,869,-0.17,879,865,871,"4,257","3,706,101.30"
173,2023/09/24,870.5,-0.74,880,867.1,868,"18,097","15,803,101.20"
174,2023/09/21,877,1.86,887,865,878,"21,896","19,165,739.60"
175,2023/09/19,861,0,867,855,861,"3,950","3,403,557.50"
176,2023/09/18,861,0.48,869,850,869,"4,533","3,893,563.50"
177,2023/09/17,856.9,-1.51,880,850,865,"12,927","11,123,958.30"
178,2023/09/13,870,2.35,871,855,865,"17,650","15,240,212.60"
179,2023/09/12,850,0.59,861,845,861,"9,063","7,700,967.10"
180,2023/09/11,845,0.6,854,840,840,"37,780","31,992,157.40"
181,2023/09/10,840,0,854.7,835,842,"15,652","13,200,480.70"
182,2023/09/07,840,-2.44,865,830,860,"34,921","29,376,107.90"
183,2023/09/05,861,0.23,865,855,860,"6,612","5,685,677.30"
