#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
83,2025/01/06,"2,288.90",1.28,"2,299.00","2,240.00","2,299.00","2,661","6,025,926.00"
84,2025/01/05,"2,260.00",-0.31,"2,266.10","2,221.70","2,221.70","1,897","4,236,464.20"
85,2025/01/02,"2,267.00",1.84,"2,279.00","2,194.00","2,194.00","1,276","2,845,310.50"
86,2025/01/01,"2,226.00",-0.85,"2,265.00","2,225.50","2,225.50","1,085","2,421,558.90"
87,2024/12/31,"2,245.00",-1.37,"2,300.00","2,216.10","2,250.00","1,914","4,320,401.00"
88,2024/12/29,"2,276.10",2.11,"2,344.00","2,210.00","2,259.00","5,167","11,864,063.00"
89,2024/12/26,"2,229.00",0.41,"2,260.00","2,200.00","2,220.00","3,905","8,662,396.40"
90,2024/12/24,"2,220.00",1.23,"2,240.00","2,185.00","2,236.30","1,889","4,159,628.30"
91,2024/12/23,"2,193.00",2.91,"2,229.00","2,103.00","2,103.00","2,597","5,637,234.80"
92,2024/12/22,"2,131.00",0.47,"2,146.00","2,101.00","2,121.00",800,"1,702,897.00"
93,2024/12/19,"2,121.00",-2.93,"2,228.30","2,121.00","2,228.30","1,860","4,006,848.50"
94,2024/12/18,"2,185.00",-0.23,"2,260.00","2,170.00","2,229.00","4,057","8,964,389.90"
95,2024/12/17,"2,190.00",1.15,"2,208.00","2,114.00","2,122.10",897,"1,920,987.50"
96,2024/12/16,"2,165.00",-2.83,"2,200.00","2,100.00","2,185.00","1,528","3,272,695.20"
97,2024/12/12,"2,228.00",0.46,"2,250.00","2,175.20","2,250.00",854,"1,888,365.00"
98,2024/12/11,"2,217.90",-0.9,"2,319.70","2,166.20","2,281.00","2,712","5,949,081.60"
99,2024/12/10,"2,238.00",-0.49,"2,280.00","2,205.00","2,210.00","2,381","5,272,392.00"
100,2024/12/09,"2,249.00",-0.44,"2,284.00","2,200.00","2,230.00","2,262","5,066,982.80"
