#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
29,2025/04/01,242.57,-1.92,249.90,242.00,244.00,"38,116","9,315,583.20"
30,2025/03/30,247.32,1.33,253.00,243.10,244.00,"70,104","17,393,016.20"
31,2025/03/27,244.08,2.12,244.90,238.10,241.00,"31,230","7,547,637.60"
32,2025/03/26,239.02,1.75,241.00,231.00,231.00,"23,433","5,593,711.80"
33,2025/03/25,234.92,-3.31,241.50,234.50,240.00,"47,970","11,358,993.50"
34,2025/03/24,242.96,1.17,246.00,239.80,242.90,"59,947","14,541,910.10"
35,2025/03/23,240.15,-2.96,248.00,239.00,246.00,"42,544","10,305,627.70"
36,2025/03/20,247.47,-1.8,255.00,247.00,252.00,"31,441","7,822,168.40"
37,2025/03/19,252.00,-0.4,256.00,248.00,251.00,"30,977","7,765,401.10"
38,2025/03/18,253.00,2.22,256.90,250.00,250.00,"47,251","11,963,885.40"
39,2025/03/17,247.50,-0.64,253.70,247.50,248.50,"47,944","11,980,841.00"
40,2025/03/16,249.10,-1.15,256.90,249.00,255.00,"49,559","12,478,869.50"
41,2025/03/12,252.00,0.08,255.50,249.00,255.50,"59,000","14,856,965.30"
42,2025/03/11,251.80,-1.64,259.90,249.00,255.10,"65,641","16,638,219.60"
43,2025/03/10,256.00,-3.36,268.00,255.20,266.20,"86,288","22,367,558.40"
44,2025/03/09,264.90,-2.5,275.10,260.00,275.10,"108,177","28,707,641.80"
45,2025/03/06,271.70,-1.38,279.00,269.50,279.00,"76,483","20,791,552.90"
46,2025/03/05,275.50,2.04,278.00,266.00,271.00,"134,099","36,750,419.00"
47,2025/03/04,270.00,-0.37,280.20,269.00,276.00,"123,894","34,165,263.40"
48,2025/03/03,271.00,-2.87,284.00,271.00,280.00,"100,971","27,849,800.10"
49,2025/03/02,279.00,3.3,280.00,270.10,274.00,"137,194","37,817,732.50"
50,2025/02/27,270.10,4.29,272.00,258.50,262.10,"221,917","58,746,430.70"
51,2025/02/25,259.00,-1.6,267.00,256.00,262.60,"64,292","16,723,605.50"
52,2025/02/24,263.20,3.22,265.00,255.10,259.10,"75,470","19,731,883.00"
53,2025/02/23,255.00,-0.39,259.00,247.50,251.00,"46,602","11,844,695.10"
54,2025/02/20,256.00,-1.5,260.00,255.00,259.00,"54,517","14,039,354.10"
55,2025/02/18,259.90,-0.99,266.70,256.30,266.70,"63,629","16,548,696.00"
56,2025/02/17,262.50,0.15,269.00,261.00,264.00,"68,046","17,977,863.20"
57,2025/02/16,262.10,0.77,271.00,258.00,260.00,"85,247","22,502,613.70"
58,2025/02/13,260.10,-2.55,272.20,260.00,272.20,"56,740","14,897,719.40"
59,2025/02/12,266.90,0.72,268.30,263.00,268.00,"93,952","24,942,419.10"
60,2025/02/11,265.00,2.32,266.30,257.10,257.10,"86,828","22,822,640.50"
61,2025/02/10,259.00,0,263.90,256.50,262.00,"80,652","20,902,310.31"
62,2025/02/09,259.00,-1.89,269.20,258.79,264.00,"59,266","15,490,205.09"
63,2025/02/06,264.00,-1.49,273.20,262.10,262.70,"91,867","24,523,759.40"
64,2025/02/05,268.00,2.21,272.00,262.20,262.20,"108,159","29,011,708.70"
65,2025/02/04,262.20,-0.68,268.00,260.00,261.10,"62,714","16,527,346.20"
66,2025/02/03,264.00,-1.86,271.70,261.00,270.00,"97,253","25,813,190.80"
67,2025/02/02,269.00,2.28,272.00,263.10,263.10,"134,645","36,085,940.30"
68,2025/01/28,263.00,2.69,265.00,256.00,261.00,"120,924","31,510,529.80"
69,2025/01/27,256.10,0.43,264.00,252.00,252.00,"152,948","39,655,447.50"
70,2025/01/26,255.00,0.79,259.90,249.00,249.00,"62,734","16,029,877.60"
71,2025/01/23,253.00,-0.94,257.80,253.00,257.80,"67,475","17,170,123.20"
72,2025/01/22,255.40,0.99,257.90,248.70,257.90,"75,821","19,330,576.60"
73,2025/01/21,252.90,-1.98,258.00,250.00,256.20,"73,494","18,578,122.80"
74,2025/01/20,258.00,4.67,259.50,241.60,241.60,"139,496","35,583,021.10"
75,2025/01/19,246.50,-0.6,250.00,243.00,243.10,"76,141","18,721,130.30"
76,2025/01/16,248.00,0.81,251.00,246.10,249.90,"51,161","12,748,238.90"
77,2025/01/15,246.00,0.49,250.00,240.00,240.00,"28,190","6,950,933.50"
78,2025/01/13,244.80,-0.08,249.90,240.00,240.30,"37,077","8,983,178.70"
79,2025/01/12,245.00,-2,250.00,244.00,250.00,"35,672","8,812,470.20"
80,2025/01/09,250.00,-0.4,254.50,246.60,248.00,"60,140","15,094,443.40"
81,2025/01/08,251.00,-0.91,254.80,249.00,254.70,"39,063","9,797,094.40"
82,2025/01/07,253.30,1.32,255.90,248.00,250.00,"51,654","12,978,704.20"
83,2025/01/06,250.00,5.04,252.90,238.00,240.00,"65,851","16,228,472.20"
84,2025/01/05,238.00,-0.04,238.90,233.60,237.70,"22,730","5,365,391.20"
85,2025/01/02,238.10,3.07,238.10,230.00,231.00,"37,762","8,791,572.70"
86,2025/01/01,231.00,-0.86,235.00,230.10,230.10,"13,836","3,202,952.60"
