#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
33,2025/03/25,889.97,-1.39,920.50,885.10,920.50,"23,561","21,075,216.70"
34,2025/03/24,902.53,1.27,905.00,887.00,890.90,"11,099","9,959,591.60"
35,2025/03/23,891.24,-1.12,902.90,890.00,902.00,"21,537","19,342,978.50"
36,2025/03/20,901.37,-0.4,921.00,900.00,921.00,"17,075","15,436,012.70"
37,2025/03/19,905.00,-0.22,923.00,900.00,923.00,"12,317","11,124,890.70"
38,2025/03/18,907.00,0.22,923.10,903.00,923.10,"16,538","15,010,424.60"
39,2025/03/17,905.00,-0.44,919.90,900.10,909.00,"28,455","25,855,169.00"
40,2025/03/16,909.00,-0.66,929.90,905.00,929.90,"19,225","17,508,867.80"
41,2025/03/12,915.00,1.23,916.00,904.00,904.00,"24,898","22,635,912.60"
42,2025/03/11,903.90,-0.45,922.00,901.00,918.00,"14,368","13,037,628.30"
43,2025/03/10,908.00,-0.22,925.00,902.10,910.00,"15,290","13,948,857.60"
44,2025/03/09,910.00,-1.94,933.00,905.00,928.00,"28,346","25,996,298.80"
45,2025/03/06,928.00,0.32,943.50,925.00,943.50,"14,694","13,633,168.70"
46,2025/03/05,925.00,-1.7,945.00,923.10,931.00,"28,910","26,893,835.80"
47,2025/03/04,941.00,-2.28,982.20,935.00,982.20,"40,508","38,455,728.60"
48,2025/03/03,963.00,-0.62,996.30,960.10,988.30,"67,669","66,183,620.20"
49,2025/03/02,969.00,4.87,974.10,925.00,925.00,"85,156","81,184,072.30"
50,2025/02/27,924.00,0.99,926.10,917.00,926.10,"31,979","29,481,945.20"
51,2025/02/25,914.90,-0.23,926.90,910.00,920.00,"16,855","15,417,911.60"
52,2025/02/24,917.00,0.6,929.00,905.00,929.00,"45,345","41,558,448.30"
53,2025/02/23,911.50,0.16,914.90,891.80,891.80,"25,899","23,457,655.60"
54,2025/02/20,910.00,0,921.00,908.00,910.00,"25,513","23,323,952.60"
55,2025/02/18,910.00,1.45,911.90,895.10,902.00,"30,997","28,087,993.80"
56,2025/02/17,897.00,1.36,901.00,885.00,898.90,"18,497","16,546,112.20"
57,2025/02/16,885.00,0.57,890.00,880.20,890.00,"12,892","11,391,593.30"
58,2025/02/13,880.00,-0.11,885.00,878.10,881.00,"16,608","14,623,922.90"
59,2025/02/12,881.00,-0.34,890.00,876.00,880.00,"30,008","26,421,432.30"
60,2025/02/11,884.00,-0.45,896.90,882.00,888.00,"16,770","14,884,239.80"
61,2025/02/10,888.00,-0.45,900.00,885.00,900.00,"17,702","15,744,685.60"
62,2025/02/09,892.00,-1.01,909.50,890.00,905.00,"16,984","15,238,614.60"
63,2025/02/06,901.10,-0.6,907.00,900.00,907.00,"18,337","16,537,624.90"
64,2025/02/05,906.50,-0.38,920.00,902.00,910.00,"30,104","27,306,098.90"
65,2025/02/04,910.00,-1.09,929.10,909.90,929.10,"24,609","22,614,932.50"
66,2025/02/03,920.00,-0.76,945.00,917.00,932.50,"26,153","24,320,064.50"
67,2025/02/02,927.00,2.21,927.00,910.50,924.00,"31,213","28,671,854.80"
68,2025/01/28,907.00,0.61,916.90,900.00,916.90,"11,351","10,248,688.30"
69,2025/01/27,901.50,-0.61,913.00,899.90,911.00,"12,071","10,891,358.90"
70,2025/01/26,907.00,-1.52,929.00,907.00,922.00,"17,074","15,635,610.50"
71,2025/01/23,921.00,0.46,934.00,920.00,920.00,"26,075","24,120,163.30"
72,2025/01/22,916.80,3.59,917.00,889.00,890.00,"32,509","29,463,934.00"
73,2025/01/21,885.00,0.67,892.00,880.00,892.00,"12,751","11,259,357.80"
74,2025/01/20,879.10,0.01,892.00,879.00,892.00,"11,172","9,876,828.60"
75,2025/01/19,879.00,0.1,885.00,874.10,878.10,"11,594","10,179,093.50"
76,2025/01/16,878.10,0.47,885.00,875.00,875.00,"10,441","9,159,643.30"
77,2025/01/15,874.00,-1.58,898.90,874.00,891.00,"18,678","16,505,787.60"
78,2025/01/13,888.00,-1.34,904.00,887.30,903.00,"21,784","19,423,527.60"
79,2025/01/12,900.10,-0.76,925.10,900.00,925.10,"12,889","11,628,176.00"
80,2025/01/09,907.00,-0.55,916.00,905.00,912.00,"23,532","21,432,742.50"
81,2025/01/08,912.00,-0.32,929.90,910.50,920.00,"14,356","13,103,317.40"
82,2025/01/07,914.90,0.1,932.00,908.00,932.00,"16,020","14,619,799.40"
83,2025/01/06,914.00,0.22,930.00,905.00,930.00,"17,641","16,052,787.30"
84,2025/01/05,912.00,-0.76,920.00,905.00,915.30,"24,125","21,967,715.70"
85,2025/01/02,919.00,-3.25,931.00,916.00,931.00,"33,053","30,392,148.20"
86,2025/01/01,949.90,-0.23,971.10,948.00,971.10,"59,232","56,381,814.50"
87,2024/12/31,952.10,-0.85,965.00,950.10,960.30,"24,290","23,209,218.20"
88,2024/12/29,960.30,1.19,962.00,951.00,951.00,"35,783","34,250,243.00"
89,2024/12/26,949.00,0.64,950.00,943.00,943.00,"22,193","21,007,270.00"
